0	5	10	0
1	10	8	1
2	6	4	0
3	1	6	0
4	4	4	20
5	7	6	16
6	7	3	0
7	6	2	162
8	4	9	22
9	7	2	458
10	5	6	0
11	8	5	43
12	3	8	246
13	7	5	9
14	2	8	587
15	4	7	0
16	9	6	0
17	2	3	0
18	8	10	51
19	4	3	0
20	7	9	4
21	8	8	1
22	2	9	13016
23	4	10	242
24	9	3	10
25	1	10	45935
26	5	3	11
27	7	1	0
28	8	2	115
29	8	6	46
30	9	10	0
31	6	6	69
32	5	1	0
33	3	7	12
34	10	1	20140
35	6	7	13
36	10	6	0
37	1	4	0
38	10	3	260
39	6	9	2
40	4	6	2
41	8	3	21
42	1	1	0
43	10	7	5
44	5	7	26
45	10	9	16
46	3	6	0
47	7	10	22
48	6	1	0
49	8	4	334
50	7	8	484
51	6	8	53
52	8	7	180
53	4	2	0
54	3	2	0
55	2	6	4
56	3	1	0
57	1	5	0
58	8	1	246
59	9	5	0
60	2	5	0
61	5	5	63
62	9	9	1
63	4	5	17
64	3	9	78
65	9	7	1
66	10	10	0
67	5	4	293
68	9	2	742
69	10	4	3
70	4	8	16
71	9	4	6
72	3	10	247
73	3	3	0
74	4	1	0
75	6	10	4
76	2	1	0
77	3	5	4
78	1	7	0
79	2	10	1975
80	7	7	103
81	8	9	21
82	9	8	2
83	5	8	3
84	1	3	0
85	9	1	1857
86	5	2	6
87	6	3	11
88	7	4	30
89	2	7	1284
90	6	5	1
91	10	5	6
92	10	2	262
93	1	2	0
94	2	4	0
95	5	9	68
96	1	8	6
97	2	2	0
98	1	9	5664
99	3	4	0
