0	8	3	26
1	7	1	0
2	1	10	36066
3	9	6	1
4	2	3	0
5	3	1	0
6	7	10	11
7	10	9	4
8	4	8	16
9	7	8	959
10	5	1	0
11	1	2	0
12	9	10	0
13	3	2	0
14	7	4	46
15	10	2	180
16	7	9	11
17	10	6	0
18	4	5	31
19	5	6	0
20	4	4	20
21	4	2	0
22	2	6	12
23	2	9	10309
24	7	7	11
25	8	2	294
26	4	1	0
27	6	4	0
28	6	5	0
29	5	8	15
30	5	4	327
31	1	8	5
32	1	3	0
33	3	6	0
34	1	6	0
35	9	8	0
36	9	1	1456
37	5	10	1
38	7	5	13
39	2	7	1072
40	8	9	19
41	5	2	6
42	2	1	0
43	9	4	51
44	4	6	10
45	8	1	489
46	1	1	0
47	8	6	18
48	6	9	1
49	1	9	3895
50	8	4	553
51	5	5	112
52	8	5	4
53	3	7	13
54	6	2	106
55	10	5	6
56	5	3	67
57	5	7	27
58	6	10	2
59	10	7	2
60	6	1	0
61	9	2	337
62	7	2	569
63	9	7	2
64	3	8	301
65	2	4	0
66	6	6	72
67	6	3	23
68	8	7	132
69	9	9	1
70	2	8	789
71	6	7	4
72	3	3	0
73	1	7	0
74	5	9	10
75	9	5	0
76	4	7	0
77	1	4	0
78	4	3	0
79	10	1	19307
80	10	3	107
81	8	10	16
82	4	10	354
83	10	10	0
84	2	10	2743
85	2	5	0
86	1	5	0
87	3	9	67
88	3	5	3
89	2	2	0
90	6	8	40
91	9	3	23
92	7	6	1
93	3	4	0
94	3	10	65
95	7	3	0
96	8	8	0
97	10	8	2
98	4	9	32
99	10	4	2
