0	8	3	33
1	7	1	0
2	1	10	60804
3	9	6	0
4	2	3	0
5	3	1	0
6	7	10	75
7	10	9	8
8	4	8	29
9	7	8	2758
10	5	1	0
11	1	2	0
12	9	10	3
13	3	2	0
14	7	4	48
15	10	2	323
16	7	9	7
17	10	6	0
18	4	5	41
19	5	6	1
20	4	4	49
21	4	2	0
22	2	6	14
23	2	9	17328
24	7	7	123
25	8	2	570
26	4	1	0
27	6	4	0
28	6	5	0
29	5	8	3
30	5	4	855
31	1	8	6
32	1	3	0
33	3	6	1
34	1	6	0
35	9	8	3
36	9	1	3048
37	5	10	0
38	7	5	20
39	2	7	870
40	8	9	15
41	5	2	12
42	2	1	0
43	9	4	39
44	4	6	10
45	8	1	461
46	1	1	0
47	8	6	115
48	6	9	2
49	1	9	7968
50	8	4	383
51	5	5	115
52	8	5	14
53	3	7	26
54	6	2	219
55	10	5	10
56	5	3	75
57	5	7	40
58	6	10	7
59	10	7	6
60	6	1	0
61	9	2	823
62	7	2	918
63	9	7	4
64	3	8	326
65	2	4	0
66	6	6	86
67	6	3	20
68	8	7	228
69	9	9	0
70	2	8	1069
71	6	7	7
72	3	3	0
73	1	7	0
74	5	9	53
75	9	5	0
76	4	7	1
77	1	4	0
78	4	3	0
79	10	1	29061
80	10	3	170
81	8	10	65
82	4	10	746
83	10	10	0
84	2	10	4101
85	2	5	0
86	1	5	0
87	3	9	74
88	3	5	4
89	2	2	0
90	6	8	99
91	9	3	29
92	7	6	2
93	3	4	0
94	3	10	310
95	7	3	0
96	8	8	4
97	10	8	1
98	4	9	36
99	10	4	10
