0	5	10	3
1	10	8	2
2	6	4	0
3	1	6	0
4	4	4	67
5	7	6	10
6	7	3	1
7	6	2	395
8	4	9	77
9	7	2	1596
10	5	6	2
11	8	5	22
12	3	8	596
13	7	5	29
14	2	8	2363
15	4	7	0
16	9	6	11
17	2	3	0
18	8	10	104
19	4	3	0
20	7	9	20
21	8	8	7
22	2	9	35397
23	4	10	1223
24	9	3	42
25	1	10	105580
26	5	3	154
27	7	1	0
28	8	2	763
29	8	6	225
30	9	10	5
31	6	6	170
32	5	1	0
33	3	7	31
34	10	1	54878
35	6	7	14
36	10	6	0
37	1	4	0
38	10	3	147
39	6	9	3
40	4	6	17
41	8	3	50
42	1	1	0
43	10	7	11
44	5	7	52
45	10	9	27
46	3	6	2
47	7	10	77
48	6	1	0
49	8	4	1008
50	7	8	1344
51	6	8	175
52	8	7	456
53	4	2	0
54	3	2	0
55	2	6	25
56	3	1	0
57	1	5	0
58	8	1	1237
59	9	5	0
60	2	5	0
61	5	5	159
62	9	9	1
63	4	5	65
64	3	9	170
65	9	7	12
66	10	10	0
67	5	4	717
68	9	2	1723
69	10	4	9
70	4	8	104
71	9	4	98
72	3	10	409
73	3	3	0
74	4	1	0
75	6	10	11
76	2	1	0
77	3	5	7
78	1	7	0
79	2	10	8790
80	7	7	128
81	8	9	11
82	9	8	3
83	5	8	20
84	1	3	0
85	9	1	5323
86	5	2	41
87	6	3	26
88	7	4	74
89	2	7	1616
90	6	5	1
91	10	5	9
92	10	2	348
93	1	2	0
94	2	4	0
95	5	9	58
96	1	8	15
97	2	2	0
98	1	9	12532
99	3	4	0
